参数/序号,1,2,3,4,5,6
Δp,0.38,0.7,1.05,1.36,1.73,2.09
t入,33.3,32.5,33.9,36.1,39.2,43.2
t出,71.6,74.8,75.4,75.4,75.9,76.5
t平,52.4499999999999,53.65,54.65,55.75,57.55,59.85
ρ,1.083085025,1.078958225,1.075541225,1.071805625,1.065745025,1.058095225
λ,0.02854097995,0.02863443355,0.02871226755,0.02879783875,0.02893775995,0.02911635955
μ,1.973647995e-05,1.979393355e-05,1.984176755e-05,1.989433875e-05,1.998025995e-05,2.008985955e-05
Pr,0.694971314387192,0.694719634771682,0.694510677466503,0.694281630552917,0.693908626114994,0.693435208240172
Pr^0.4,0.864543304275052,0.864418055036176,0.864314046017565,0.864200015773684,0.864014268436061,0.863778431304859
V_t,14.0707496207202,19.1338963677309,23.4713371207431,26.7588934736272,30.265866144094,33.3862374801089
V修,14.9500279866421,20.4579006477162,25.0574965255808,28.4591756296717,32.0439312753382,35.1434078737988
u_m,13.2187269635348,18.088755629816198,22.1556912975232,25.1634359876814,28.3330558809281,31.073594890054
W_c,0.00449781984323973,0.00613145004724618,0.00748621403015457,0.0084729734785403,0.00948629453837045,0.0103291866837483
Q,173.127832496062,260.657138683506,312.231271662671,334.652796995167,349.887744605986,345.681726151663
α_i,43.7784403059008,64.4375148705649,75.7748555550207,79.6138219152607,80.6347582990406,76.6039479999667
Nu_i,30.6776013876151,45.0070121052315,52.78221611934,55.2915255942675,55.7297858841631,52.6191798589509
Re_i,14508.1648399702,19720.19519769,24019.3917188189,27113.5548407452,30225.6461364469,32731.7593185966
Nu/Pr^0.4,35.4841697760175,52.0662564172702,61.0683308486547,63.9800099341206,64.5010018006285,60.9174505312227
Δt1,65.1,65.9,64.5,62.3,59.2,55.2
Δt2,26.8,23.6,23.0,23.0,22.5,21.9
Δt_m,43.1538276743685,41.1922686547955,40.2455069849366,39.4393308790899,37.9364932334019,36.0203927424455
K_o,48.3719693812789,76.2957089169325,93.5416864756387,102.308359628083,111.203318651496,115.710875240237
