序号,累计时间τ/min,总质量W1/g,干球温度t_dry/℃,湿球温度t_wet/℃
1,0,228.9,74.3,44.3
2,3,227.0,74.8,44.6
3,6,225.0,75.3,45.4
4,9,223.0,75.0,46.1
5,12,221.0,75.0,46.4
6,15,218.9,75.1,47.3
7,18,217.1,75.1,47.8
8,21,215.1,75.1,48.1
9,24,213.1,74.9,48.0
10,27,211.2,74.9,47.9
11,30,209.3,75.1,47.9
12,33,207.4,75.0,47.9
13,36,205.4,74.9,47.9
14,39,203.7,75.0,47.9
15,42,201.6,75.0,47.9
16,45,199.8,75.0,47.9
17,48,197.6,75.0,47.7
18,51,195.9,75.0,47.7
19,54,193.7,75.0,47.6
20,57,191.9,75.0,47.6
21,60,190.1,74.9,47.5
22,63,188.2,75.0,47.1
23,66,186.4,75.0,47.0
24,69,184.8,75.0,47.0
25,72,183.1,75.0,47.3
26,75,182.0,75.0,47.7
27,78,181.0,75.0,48.1
28,81,180.2,75.0,48.8
29,84,179.4,75.0,49.8
30,87,178.7,75.0,51.4
31,90,178.0,75.1,53.6
32,93,177.4,75.0,56.5
33,96,176.8,75.0,60.1
34,99,176.3,75.1,63.0
35,102,175.6,75.1,65.0
36,105,175.2,75.1,66.1
37,108,174.9,75.0,67.4
