序号,滤液高/cm,p=0.05MPa,Unnamed: 3,滤液高/cm.1,p=0.10Mpa,Unnamed: 6,滤液高/cm.2,p=0.15Mpa,Unnamed: 9
,,θ/s,Δθ/s,,θ/s,Δθ/s,,θ/s,Δθ/s
0.0,5.0,0,0,5.0,0,0,5.0,0,0
1.0,6.0,17.68,17.68,6.0,14.6,14.6,6.0,9.04,9.04
2.0,7.0,57.88,40.2,7.0,35.61,21.01,7.0,25.7,16.66
3.0,8.0,117.64,59.76,8.0,64.53,28.91,8.0,48.74,23.04
4.0,9.0,183.41,65.77,9.0,94.71,30.17,9.0,73.95,25.21
5.0,10.0,261.36,77.95,10.0,135.71,41,10.0,106.55,32.6
6.0,11.0,359.7,98.34,11.0,183.58,47.87,11.0,141.28,34.73
7.0,12.0,470.81,111.11,12.0,237.58,53.99,12.0,182.11,40.83
8.0,13.0,600.73,129.92,13.0,296.65,59.06,13.0,225.95,43.84
9.0,14.0,857.51,256.78,14.0,381.12,84.47,14.0,280.95,55
10.0,14.5,3521.72,2664.21,15.0,813.05,431.92,15.0,401.56,120.61
